SKU,Vintage,Producer,Vineyard,Designation,Color,Region,Varietal,Intensity,Age,Fruit 1,Fruit 2,Fruit 3,Fruit Character,Non Fruit 1,Non Fruit 2,Non Fruit 3,Non Fruit 4,Earth,Mineral,Wood Character,Tannin,Acid,Alcohol,Body,Texture
117527,,Coravin,,2 Pack,,Accessory,,,,,,,,,,,,,,,,,,,
131544,,Coravin,,Piano Black,,Accessory,,,,,,,,,,,,,,,,,,,
128508,,Coravin,,,,Accessory,,,,,,,,,,,,,,,,,,,
110704,,John Kapon,,,,Accessory,,,,,,,,,,,,,,,,,,,
118815,,Le Creuset,,,,Accessory,,,,,,,,,,,,,,,,,,,
133940,,Le Nez du Vin,,,,Accessory,,,,,,,,,,,,,,,,,,,
133939,,Le Nez du Vin,,,,Accessory,,,,,,,,,,,,,,,,,,,
133772,,Le Nez du Vin,,,,Accessory,,,,,,,,,,,,,,,,,,,
10876,,Metrokane,,,,Accessory,,,,,,,,,,,,,,,,,,,
29410,,Riedel,,Cabernet Sauvignon Magnum,,Accessory,,,,,,,,,,,,,,,,,,,
 ,,Riedel,,Cabernet Sauvignon,,Accessory,,,,,,,,,,,,,,,,,,,
25985,,Riedel,,Champagne,,Accessory,,,,,,,,,,,,,,,,,,,
103016,,Riedel,,Zinfandel/Riesling,,Accessory,,,,,,,,,,,,,,,,,,,
25674,,Riedel,,Burgundy,,Accessory,,,,,,,,,,,,,,,,,,,
103922,,Riedel,,Extreme Chardonnay,,Accessory,,,,,,,,,,,,,,,,,,,
66010,,Riedel,,Port Glass,,Accessory,,,,,,,,,,,,,,,,,,,
24864,,Riedel,,Chablis,,Accessory,,,,,,,,,,,,,,,,,,,
140716,,The Durand,,,,Accessory,,,,,,,,,,,,,,,,,,,
8291,,Vacu-Vin,,,,Accessory,,,,,,,,,,,,,,,,,,,
24317,,Wine Enthusiast,,,,Accessory,,,,,,,,,,,,,,,,,,,
36445,,Wine Enthusiast,,Black Label,,Accessory,,,,,,,,,,,,,,,,,,,
134442,,Zalto,,6 Pack,,Accessory,,,,,,,,,,,,,,,,,,,
142758,,Zalto,,2 Pack,,Accessory,,,,,,,,,,,,,,,,,,,
100019,1988,Trimbach,Clos Ste. Hune,Clos Ste. Hune,White,Alsacce,Riesling,Medium Plus,Developing,Pear,Apricot,Mango,Fresh,Petrol,Spice,Floral,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Round
138684,2011,A. Boxler,,Sommerberg,White,Alsace,Riesling,Medium Plus,Youthful,Lemon,Peach,Pineapple,Fresh,Petrol,Herbal,White-Flowers,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Lean
138683,2011,A. Boxler,,Brand,White,Alsace,Riesling,Medium Plus,Youthful,Lemon,Peach,Pineapple,Fresh,Petrol,Herbal,White-Flowers,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Lean
143273,2014,Bechtold,Obere Hund,Obere Hund,White,Alsace,Muscat,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
2646,2015,Hugel,<none>,Classic,White,Alsace,Gewurztraminer,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium,Medium Plus,Round
135508,2008,Hugel,Schoelhammer,Schoelhammer,White,Alsace,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
137113,2007,M. Deiss,,Altenberg de Bergheim,White,Alsace,,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium,Medium,Round
144305,2017,M. Nartz,,,White,Alsace,Gewurztraminer,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium,Medium Plus,Round
144186,2014,M. Schoech,Sonnenberg,Sonnenberg,White,Alsace,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
111230,NV,Schoenheitz,<none>,Brut,White,Alsace,,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium,Medium Plus,Lean
108933,2015,Schoenheitz,Val Saint-Gregorie,,White,Alsace,Pinot Gris,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium,Medium Plus,Round
138005,1981,Trimbach,Clos Ste. Hune,Clos Ste. Hune,White,Alsace,Riesling,Medium Plus,Mature,Pear,Apricot,Mango,Fresh,Petrol,Spice,Floral,Honey,,Crushed-Rock,,N/A,High,Medium,Medium Plus,Round
51444,1989,Trimbach,Clos Ste. Hune,"Clos Ste. Hune, VT",White,Alsace,Riesling,Medium Plus,Developing,Pear,Apricot,Mango,Fresh,Petrol,Spice,Floral,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Lean
51439,1990,Trimbach,Clos Ste. Hune,Clos Ste. Hune,White,Alsace,Riesling,Medium Plus,Developing,Pear,Apricot,Mango,Fresh,Petrol,Spice,Floral,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Lean
110983,2003,Trimbach,Clos Ste. Hune,Clos Ste. Hune,White,Alsace,Riesling,Medium Plus,Youthful,Pear,Apricot,Mango,Fresh,Petrol,Spice,Floral,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Lean
127584,2007,Trimbach,Clos Ste. Hune,Clos Ste. Hune,White,Alsace,Riesling,Medium Plus,Youthful,Pear,Apricot,Mango,Fresh,Petrol,Spice,Floral,Honey,,Crushed-Rock,,N/A,High,Medium,Medium,Lean
143263,2000,V. Fleith,Steinweg,Steinweg,White,Alsace,Riesling,Medium Plus,Developing,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
132934,2012,Antigal,,Uno,Red,Argentina,Cabernet Sauvignon,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
144154,2017,Bodegas Chacra,Mainque,Mainque,White,Argentina,Chardonnay,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
101246,2015,Catena,<none>,,Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
142823,2014,Cheval des Andes,,,Red,Argentina,Cabernet Sauvignon Blend,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
125350,,Kipu,,,Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium,Medium,Medium,Full,Round
44722,2018,Michel Torino,Coleccion,Coleccion,Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
21980,2016,P. Toso,,,Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
134338,2013,Terrazas de Los Andes,,Los Aromos,Red,Argentina,Cabernet Sauvignon,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
137177,2013,Terrazas de Los Andes,,,Red,Argentina,Cabernet Sauvignon Based Blend,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
130334,2014,Terrazas de los Andes,Las Compuertas,"Single Vineyard, Las Compuertas",Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
4014,,Trapiche,,Astica,Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium,Medium,Medium,Full,Round
125349,2017,Vina Cobos,,Felino,Red,Argentina,Malbec,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
111570,,19 Crimes,,,Red,Australia,Shiraz,Medium Plus,Youthful,,,,,,,,,,,,Medium,Medium,Medium,Full,Round
401800,1998,Clarendon Hills,,,Red,Australia,Syrah,Medium Plus,Developing,Plum,Blackberry,,Ripe,Black-Pepper,Herbal,Chocolate,Olive,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
